Region_ID, Region_name, Region_class, Process_ID, Interval, Layer, Ping_date, Ping_time, Target_range, TS_comp, TS_uncomp, Angle_minor_axis, Angle_major_axis, Distance_minor_axis, Distance_major_axis, Target_true_depth, Target_latitude, Target_longitude, Target_northing, Target_easting, Target_length, Target_length_manual, Target_perimeter, Target_area, Target_thickness, Target_compactness, Target_intensity_variation, Ping_number, Target_length_across_beams, Target_range_extent, Target_class, Target_orientation, Target_perimeter_edge_midpoints, Target_compactness_edge_midpoints, Target_area_edge_midpoints
1, "Region 1", "Fish_tracks", 2, 2587, 1, 20190305, 10:08:49.6330, 4.149856, -44.138599, -49.357998, -0.62019, 3.1509, -0.044851, 0.228090, 4.343341, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 6, -9.9e+37, -9.9e+37, "Unclassified targets", -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37
1, "Region 1", "Fish_tracks", 2, 2587, 1, 20190305, 10:08:50.0320, 4.174345, -34.271046, -42.659380, -3.7634, 1.7627, -0.273859, 0.128125, 4.363381, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 7, -9.9e+37, -9.9e+37, "Unclassified targets", -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37
1, "Region 1", "Fish_tracks", 2, 2587, 1, 20190305, 10:08:50.4330, 4.064520, -39.092341, -49.334174, 2.9508, 3.6368, 0.208815, 0.257481, 4.250978, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 8, -9.9e+37, -9.9e+37, "Unclassified targets", -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37
2, "Region 2", "Fish_tracks", 2, 2587, 1, 20190305, 10:08:48.4340, 4.295774, -54.880933, -71.375151, 0.6815, 5.6713, 0.050844, 0.424481, 4.474448, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 3, -9.9e+37, -9.9e+37, "Unclassified targets", -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37
2, "Region 2", "Fish_tracks", 2, 2587, 1, 20190305, 10:08:49.6330, 4.210660, -48.643248, -58.403095, 2.0516, 4.0021, 0.150371, 0.293686, 4.397713, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 6, -9.9e+37, -9.9e+37, "Unclassified targets", -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37
2, "Region 2", "Fish_tracks", 2, 2587, 1, 20190305, 10:08:50.0320, 4.223176, -34.743910, -38.532459, 1.6882, 2.1966, 0.124327, 0.161796, 4.418244, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 7, -9.9e+37, -9.9e+37, "Unclassified targets", -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37
2, "Region 2", "Fish_tracks", 2, 2587, 1, 20190305, 10:08:50.4330, 4.271657, -41.876528, -50.695767, 0.14597, 4.1602, 0.010854, 0.309888, 4.460388, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 8, -9.9e+37, -9.9e+37, "Unclassified targets", -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37
3, "Region 3", "Fish_tracks", 2, 2587, 1, 20190305, 10:09:12.8320, 4.174282, -65.135049, -66.379870, 0.30531, -1.5349, 0.022235, -0.111813, 4.372725, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 63, -9.9e+37, -9.9e+37, "Unclassified targets", -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37
3, "Region 3", "Fish_tracks", 2, 2587, 1, 20190305, 10:09:13.2310, 4.027752, -59.018320, -61.485998, -0.062808, 2.2008, -0.004412, 0.154671, 4.224779, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 64, -9.9e+37, -9.9e+37, "Unclassified targets", -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37
3, "Region 3", "Fish_tracks", 2, 2587, 1, 20190305, 10:09:13.6320, 4.076511, -61.772331, -68.428445, -0.41289, 3.597, -0.029319, 0.255746, 4.268375, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37, 65, -9.9e+37, -9.9e+37, "Unclassified targets", -9.9e+37, -9.9e+37, -9.9e+37, -9.9e+37
