Region_ID, Region_name, Region_class, Process_ID, Height_mean, Ping_S, Ping_E, Dist_M, Date_M, Time_M, Lat_M, Lon_M, Standard_deviation, Num_targets, TS_mean, Target_range_mean, Speed_4D_mean_unsmoothed, Fish_track_change_in_range, Time_in_beam, Distance_3D_unsmoothed, Thickness_mean, Exclude_below_line_range_mean, Target_depth_mean, Target_depth_max, Target_depth_min, Fish_track_change_in_depth
1, "Region 1", "Fish_tracks", 1, 0.004290, 6, 8, 0.000000, 20190305, 10:08:50.0320, 999.00000000, 999.00000000, 0.00017444852909, 3, -37.480984, 4.129574, 0.9536, -0.085336, 0.800000, 0.7629, 0.004290, -9999.000000, 4.319233, 4.363381, 4.250978, -0.092362
2, "Region 2", "Fish_tracks", 1, 0.004290, 3, 8, 0.000000, 20190305, 10:08:49.2320, 999.00000000, 999.00000000, 0.00015641840303, 4, -39.816449, 4.250317, 0.2545, -0.024117, 1.999000, 0.5086, 0.004290, -9999.000000, 4.437698, 4.474448, 4.397713, -0.014060
3, "Region 3", "Fish_tracks", 1, 0.004290, 63, 65, 0.000000, 20190305, 10:09:13.2310, 999.00000000, 999.00000000, 0.00000047818584, 3, -61.297741, 4.092848, 0.5235, -0.097771, 0.800000, 0.4188, 0.004290, -9999.000000, 4.288626, 4.372725, 4.224779, -0.104350
4, "Region 4", "Fish_tracks", 1, 0.004290, 62, 70, 0.000000, 20190305, 10:09:14.0320, 999.00000000, 999.00000000, 0.00012952015817, 7, -38.743997, 4.170547, 0.4841, 0.170799, 3.189000, 1.5439, 0.004290, -9999.000000, 4.363693, 4.457449, 4.288485, 0.159231
5, "Region 5", "Fish_tracks", 1, 0.004290, 147, 151, 0.000000, 20190305, 10:09:47.2320, 999.00000000, 999.00000000, 0.00001439838516, 5, -42.761054, 4.169188, 0.2896, 0.012606, 1.601000, 0.4636, 0.004290, -9999.000000, 4.363267, 4.378010, 4.354384, 0.011622
6, "Region 6", "Fish_tracks", 1, 0.004290, 166, 168, 0.000000, 20190305, 10:09:55.2320, 999.00000000, 999.00000000, 0.00014179240526, 3, -38.919046, 3.727296, 0.3337, 0.048828, 1.600000, 0.5340, 0.004290, -9999.000000, 3.916581, 3.932457, 3.892864, 0.039593
7, "Region 7", "Fish_tracks", 1, 0.004290, 166, 177, 0.000000, 20190305, 10:09:56.8320, 999.00000000, 999.00000000, 0.00006259857256, 5, -43.779104, 3.823149, 0.3514, 0.219205, 5.200000, 1.8274, 0.004290, -9999.000000, 4.013851, 4.166710, 3.807941, 0.209084
8, "Region 8", "Fish_tracks", 1, 0.004290, 164, 182, 0.000000, 20190305, 10:09:57.6320, 999.00000000, 999.00000000, 0.00007939848605, 8, -41.014847, 4.206048, 0.2063, -0.097380, 8.000000, 1.6507, 0.004290, -9999.000000, 4.397131, 4.479939, 4.297672, -0.093469
9, "Region 9", "Fish_tracks", 1, 0.004290, 182, 186, 0.000000, 20190305, 10:10:02.0320, 999.00000000, 999.00000000, 0.00000351882325, 3, -52.589053, 4.267381, 0.3340, 0.073163, 1.600000, 0.5344, 0.004290, -9999.000000, 4.456695, 4.486223, 4.412039, 0.074185
10, "Region 10", "Fish_tracks", 1, 0.004290, 195, 203, 0.000000, 20190305, 10:10:08.0320, 999.00000000, 999.00000000, 0.00061386416288, 9, -33.489388, 2.021054, 0.1651, -0.036443, 3.200000, 0.5282, 0.004290, -9999.000000, 2.216273, 2.303240, 2.157671, -0.031428
11, "Region 11", "Fish_tracks", 1, 0.004290, 207, 210, 0.000000, 20190305, 10:10:11.6320, 999.00000000, 999.00000000, 0.00003672463709, 4, -37.668221, 4.113079, 0.7148, -0.073442, 1.199000, 0.8571, 0.004290, -9999.000000, 4.301591, 4.356164, 4.263706, -0.054309
12, "Region 12", "Fish_tracks", 1, 0.004290, 196, 210, 0.000000, 20190305, 10:10:09.6320, 999.00000000, 999.00000000, 0.00006109565555, 8, -42.149326, 4.099422, 0.4426, 0.085092, 5.600000, 2.4787, 0.004290, -9999.000000, 4.289461, 4.469619, 4.113392, 0.100347
13, "Region 13", "Fish_tracks", 1, 0.004290, 231, 240, 0.000000, 20190305, 10:10:22.4320, 999.00000000, 999.00000000, 0.00010627582920, 8, -39.301429, 4.157491, 0.4733, 0.219192, 3.600000, 1.7039, 0.004290, -9999.000000, 4.348678, 4.492831, 4.196327, 0.232136
14, "Region 14", "Fish_tracks", 1, 0.004290, 236, 241, 0.000000, 20190305, 10:10:23.6330, 999.00000000, 999.00000000, 0.00002993888306, 5, -44.480362, 4.142380, 0.5668, -0.244142, 2.010000, 1.1393, 0.004290, -9999.000000, 4.330169, 4.413684, 4.181673, -0.232011
15, "Region 15", "Fish_tracks", 1, 0.004290, 236, 241, 0.000000, 20190305, 10:10:23.6330, 999.00000000, 999.00000000, 0.00002214179863, 5, -45.497731, 3.991277, 0.2647, -0.146151, 2.010000, 0.5320, 0.004290, -9999.000000, 4.187154, 4.245437, 4.096210, -0.149228
16, "Region 16", "Fish_tracks", 1, 0.004290, 274, 286, 0.000000, 20190305, 10:10:40.4320, 999.00000000, 999.00000000, 0.00020267981204, 6, -38.103856, 4.239105, 0.2196, 0.085230, 4.798000, 1.0538, 0.004290, -9999.000000, 4.426425, 4.468493, 4.379225, 0.089268
17, "Region 17", "Fish_tracks", 1, 0.004290, 286, 291, 0.000000, 20190305, 10:10:43.6320, 999.00000000, 999.00000000, 0.00004006835464, 5, -43.953788, 4.173994, 0.4226, 0.207022, 2.001000, 0.8456, 0.004290, -9999.000000, 4.367530, 4.491522, 4.277894, 0.213628
18, "Region 18", "Fish_tracks", 1, 0.004290, 307, 309, 0.000000, 20190305, 10:10:51.6320, 999.00000000, 999.00000000, 0.00000012060755, 3, -61.761981, 3.889855, 0.3104, 0.036519, 0.800000, 0.2483, 0.004290, -9999.000000, 4.081930, 4.099823, 4.058362, 0.041461
19, "Region 19", "Fish_tracks", 1, 0.004290, 307, 317, 0.000000, 20190305, 10:10:53.2310, 999.00000000, 999.00000000, 0.00012850997587, 6, -38.810488, 3.396049, 0.3974, -0.548525, 4.000000, 1.5895, 0.004290, -9999.000000, 3.587108, 3.872236, 3.330931, -0.541305
20, "Region 20", "Fish_tracks", 1, 0.004290, 307, 319, 0.000000, 20190305, 10:10:53.6330, 999.00000000, 999.00000000, 0.00013538984839, 8, -38.282673, 3.645466, 0.3408, -0.401986, 4.812000, 1.6398, 0.004290, -9999.000000, 3.838942, 4.014090, 3.561047, -0.398977
