Target_index,Ping_index,Ping_date,Ping_time,Ping_milliseconds,Range,Depth
0,2,3/5/2019,10:08:48,31,0.883217648,1.083049495
1,3,3/5/2019,10:08:48,434,0.749603956,0.949317209
2,3,3/5/2019,10:08:48,434,4.295774098,4.474448036
3,6,3/5/2019,10:08:49,633,4.149856457,4.343340658
4,6,3/5/2019,10:08:49,633,4.210660415,4.397713428
5,7,3/5/2019,10:08:50,32,4.174345151,4.363381136
6,7,3/5/2019,10:08:50,32,4.223175964,4.418243718
7,8,3/5/2019,10:08:50,433,4.064520438,4.250978393
8,8,3/5/2019,10:08:50,433,4.271657073,4.460387996
9,31,3/5/2019,10:09:00,33,4.2469884,4.431851761
10,32,3/5/2019,10:09:00,432,4.210893679,4.398809995
11,45,3/5/2019,10:09:05,632,4.259463743,4.455827781
12,46,3/5/2019,10:09:06,31,4.210519501,4.393622333
13,62,3/5/2019,10:09:12,443,4.100889286,4.298218859
14,63,3/5/2019,10:09:12,832,4.088568222,4.288484729
15,63,3/5/2019,10:09:12,832,4.174282217,4.372725187
16,64,3/5/2019,10:09:13,231,4.027752378,4.224779086
17,64,3/5/2019,10:09:13,231,4.113007134,4.311126166
18,65,3/5/2019,10:09:13,632,4.076510793,4.268374962
19,65,3/5/2019,10:09:13,632,4.16182739,4.353855499
20,67,3/5/2019,10:09:14,432,4.210458424,4.392661906
21,69,3/5/2019,10:09:15,232,4.24739179,4.444057113
22,70,3/5/2019,10:09:15,632,4.271688649,4.457449394
23,135,3/5/2019,10:09:41,632,4.27156889,4.450288731
24,147,3/5/2019,10:09:46,432,4.173948321,4.366387396
25,148,3/5/2019,10:09:46,831,4.161638627,4.359342504
26,149,3/5/2019,10:09:47,232,4.161780278,4.358212786
27,150,3/5/2019,10:09:47,632,4.162020446,4.354384355
28,151,3/5/2019,10:09:48,33,4.186554417,4.378009509
29,164,3/5/2019,10:09:53,232,4.234928877,4.424311089
30,165,3/5/2019,10:09:53,643,4.235275479,4.434047794
31,166,3/5/2019,10:09:54,32,3.613681409,3.807941403
32,166,3/5/2019,10:09:54,32,3.698814248,3.892864135
33,166,3/5/2019,10:09:54,32,4.235122661,4.434745759
34,167,3/5/2019,10:09:55,232,3.73543174,3.92442009
35,167,3/5/2019,10:09:55,232,3.820621997,4.008804708
