"Ping_index","Range","Target_index","Ping_date","Ping_time","Ping_milliseconds","Depth","Region_ID"
1000,3.4064,"661","3/5/2019","10:15:28",432,3.603896203,96
1001,2.5776,"662","3/5/2019","10:15:28",832,2.774190405,102
1001,3.2968,"663","3/5/2019","10:15:28",832,3.496710721,99
1001,3.4063,"664","3/5/2019","10:15:28",832,3.603346422,98
1001,3.5158,"665","3/5/2019","10:15:28",832,3.713706777,96
1001,3.8329,"666","3/5/2019","10:15:28",832,4.022673378,101
1003,2.468,"667","3/5/2019","10:15:29",632,2.661718878,102
1004,3.4427,"668","3/5/2019","10:15:30",33,3.638423312,98
1006,2.5897,"669","3/5/2019","10:15:30",832,2.789424296,102
1006,2.9067,"670","3/5/2019","10:15:30",832,3.106429161,97
1006,3.0773,"672","3/5/2019","10:15:30",832,3.275129328,98
1006,3.1625,"673","3/5/2019","10:15:30",832,3.361999122,99
1007,2.5776,"674","3/5/2019","10:15:31",243,2.775948344,102
1007,2.6141,"675","3/5/2019","10:15:31",243,2.812792617,97
1007,3.5284,"676","3/5/2019","10:15:31",243,3.726006939,99
1007,3.6134,"677","3/5/2019","10:15:31",243,3.810975267,101
1008,2.4558,"678","3/5/2019","10:15:31",632,2.654932268,97
1008,3.3209,"679","3/5/2019","10:15:31",632,3.506210434,98
1008,3.711,"680","3/5/2019","10:15:31",632,3.908528378,101
1008,3.7962,"681","3/5/2019","10:15:31",632,3.993973484,99
1008,4.0644,"682","3/5/2019","10:15:31",632,4.260715279,100
1009,3.455,"683","3/5/2019","10:15:32",32,3.64932249,101
1009,4.1374,"684","3/5/2019","10:15:32",32,4.334632082,100
1010,4.1498,"685","3/5/2019","10:15:32",433,4.347619322,100
1010,4.296,"686","3/5/2019","10:15:32",433,4.473052175,99
1011,2.6873,"688","3/5/2019","10:15:32",833,2.887067855,102
1012,3.979,"689","3/5/2019","10:15:33",232,4.178541319,108
1012,4.1742,"690","3/5/2019","10:15:33",232,4.370532482,100
1015,2.9067,"692","3/5/2019","10:15:34",432,3.103187492,101
1015,3.9792,"693","3/5/2019","10:15:34",432,4.176744718,108
1015,4.1864,"694","3/5/2019","10:15:34",432,4.383700095,100
1017,2.5289,"696","3/5/2019","10:15:35",233,2.725576999,101
1017,2.8213,"697","3/5/2019","10:15:35",233,3.018950552,102
1017,3.0286,"698","3/5/2019","10:15:35",233,3.228287299,103
1017,3.0652,"699","3/5/2019","10:15:35",233,3.263514279,106
1018,2.931,"700","3/5/2019","10:15:35",632,3.125805277,102
1018,3.9912,"701","3/5/2019","10:15:35",632,4.191115107,108
1020,2.8944,"702","3/5/2019","10:15:36",431,3.093796711,103
1021,3.2479,"703","3/5/2019","10:15:36",833,3.447482072,102
